|                 wl |       k_e | k_ff_Hmenos |   k_ff_HI | k_bf_Hmenos_n1 | k_bf_HI_n1 | k_bf_HI_n2 | k_bf_HI_n3 | k_bf_HI_sum |     k_tot |
|              500.0 | 1.200e-11 |   9.917e-10 | 1.048e-14 |      1.005e-07 |  1.994e+00 |  1.012e-10 |  5.452e-13 |   1.994e+00 | 1.994e+00 |
| 509.99999999999994 | 1.200e-11 |   1.019e-09 | 1.111e-14 |      1.014e-07 |  2.107e+00 |  1.072e-10 |  5.777e-13 |   2.107e+00 | 2.107e+00 |
|              520.0 | 1.200e-11 |   1.046e-09 | 1.176e-14 |      1.023e-07 |  2.223e+00 |  1.134e-10 |  6.115e-13 |   2.223e+00 | 2.223e+00 |
|              530.0 | 1.200e-11 |   1.073e-09 | 1.244e-14 |      1.033e-07 |  2.343e+00 |  1.199e-10 |  6.465e-13 |   2.343e+00 | 2.343e+00 |
|              540.0 | 1.200e-11 |   1.101e-09 | 1.315e-14 |      1.042e-07 |  2.467e+00 |  1.266e-10 |  6.829e-13 |   2.467e+00 | 2.467e+00 |
|              550.0 | 1.200e-11 |   1.129e-09 | 1.388e-14 |      1.052e-07 |  2.595e+00 |  1.335e-10 |  7.206e-13 |   2.595e+00 | 2.595e+00 |
|              560.0 | 1.200e-11 |   1.157e-09 | 1.463e-14 |      1.062e-07 |  2.727e+00 |  1.407e-10 |  7.596e-13 |   2.727e+00 | 2.727e+00 |
|              570.0 | 1.200e-11 |   1.186e-09 | 1.542e-14 |      1.072e-07 |  2.863e+00 |  1.481e-10 |  8.000e-13 |   2.863e+00 | 2.863e+00 |
|              580.0 | 1.200e-11 |   1.215e-09 | 1.623e-14 |      1.082e-07 |  3.004e+00 |  1.557e-10 |  8.418e-13 |   3.004e+00 | 3.004e+00 |
|              590.0 | 1.200e-11 |   1.244e-09 | 1.707e-14 |      1.092e-07 |  3.148e+00 |  1.637e-10 |  8.849e-13 |   3.148e+00 | 3.148e+00 |
|              600.0 | 1.200e-11 |   1.274e-09 | 1.794e-14 |      1.102e-07 |  3.297e+00 |  1.718e-10 |  9.296e-13 |   3.297e+00 | 3.297e+00 |
|  609.9999999999999 | 1.200e-11 |   1.303e-09 | 1.883e-14 |      1.113e-07 |  3.450e+00 |  1.803e-10 |  9.756e-13 |   3.450e+00 | 3.450e+00 |
|              620.0 | 1.200e-11 |   1.334e-09 | 1.976e-14 |      1.124e-07 |  3.607e+00 |  1.890e-10 |  1.023e-12 |   3.607e+00 | 3.607e+00 |
|              630.0 | 1.200e-11 |   1.364e-09 | 2.072e-14 |      1.134e-07 |  3.768e+00 |  1.980e-10 |  1.072e-12 |   3.768e+00 | 3.768e+00 |
|              640.0 | 1.200e-11 |   1.394e-09 | 2.170e-14 |      1.145e-07 |  3.934e+00 |  2.073e-10 |  1.123e-12 |   3.934e+00 | 3.934e+00 |
|              650.0 | 1.200e-11 |   1.425e-09 | 2.272e-14 |      1.157e-07 |  4.104e+00 |  2.168e-10 |  1.175e-12 |   4.104e+00 | 4.104e+00 |
