|                 wl |      k_tot |
|              500.0 |  1.168e-01 |
| 509.99999999999994 |  1.234e-01 |
|              520.0 |  1.302e-01 |
|              530.0 |  1.373e-01 |
|              540.0 |  1.445e-01 |
|              550.0 |  1.520e-01 |
|              560.0 |  1.598e-01 |
|              570.0 |  1.678e-01 |
|              580.0 |  1.760e-01 |
|              590.0 |  1.844e-01 |
|              600.0 |  1.931e-01 |
|  609.9999999999999 |  2.021e-01 |
|              620.0 |  2.113e-01 |
|              630.0 |  2.208e-01 |
|              640.0 |  2.305e-01 |
|              650.0 |  2.404e-01 |
|              660.0 |  2.507e-01 |
|              670.0 |  2.611e-01 |
|              680.0 |  2.719e-01 |
|              690.0 |  2.829e-01 |
|              700.0 |  2.942e-01 |
|              710.0 |  3.057e-01 |
|              720.0 |  3.175e-01 |
|              730.0 |  3.296e-01 |
|              740.0 |  3.420e-01 |
|              750.0 |  3.546e-01 |
|              760.0 |  3.675e-01 |
|              770.0 |  3.807e-01 |
|              780.0 |  3.942e-01 |
|              790.0 |  4.079e-01 |
|              800.0 |  4.219e-01 |
|              810.0 |  4.362e-01 |
|              820.0 |  4.508e-01 |
|              830.0 |  4.657e-01 |
|              840.0 |  4.809e-01 |
|              850.0 |  4.963e-01 |
|              860.0 |  5.120e-01 |
|              870.0 |  5.281e-01 |
|              880.0 |  5.444e-01 |
|              890.0 |  5.610e-01 |
|              900.0 |  5.779e-01 |
|              910.0 |  5.951e-01 |
|              920.0 |  6.126e-01 |
|              930.0 |  6.304e-01 |
|              940.0 |  6.485e-01 |
|              950.0 |  6.668e-01 |
|  959.9999999999999 |  6.855e-01 |
|              970.0 |  7.045e-01 |
|              980.0 |  7.238e-01 |
|  989.9999999999999 |  7.434e-01 |
|             1000.0 |  7.632e-01 |
|             1010.0 |  7.834e-01 |
| 1019.9999999999999 |  8.039e-01 |
|             1030.0 |  8.247e-01 |
|             1040.0 |  8.457e-01 |
|             1050.0 |  8.671e-01 |
|             1060.0 |  8.888e-01 |
|             1070.0 |  9.108e-01 |
|             1080.0 |  9.331e-01 |
|             1090.0 |  9.557e-01 |
|             1100.0 |  9.786e-01 |
|             1110.0 |  1.002e+00 |
|             1120.0 |  1.025e+00 |
|             1130.0 |  1.049e+00 |
|             1140.0 |  1.073e+00 |
|             1150.0 |  1.098e+00 |
|             1160.0 |  1.122e+00 |
|             1170.0 |  1.147e+00 |
|             1180.0 |  1.173e+00 |
|             1190.0 |  1.198e+00 |
|             1200.0 |  1.224e+00 |
| 1209.9999999999998 |  1.250e+00 |
| 1219.9999999999998 |  1.277e+00 |
|             1230.0 |  1.304e+00 |
|             1240.0 |  1.331e+00 |
|             1250.0 |  1.358e+00 |
|             1260.0 |  1.386e+00 |
| 1269.9999999999998 |  1.414e+00 |
|             1280.0 |  1.442e+00 |
|             1290.0 |  1.471e+00 |
|             1300.0 |  1.500e+00 |
|             1310.0 |  1.529e+00 |
|             1320.0 |  1.559e+00 |
