| lgTauR |                 Ne |                     HI |                HII |             Hmenos |                  HI_n1 |              HI_n2 |              HI_n3 |
|   -5.0 | 23438398962.945812 | 1.5080218288779598e+20 |  67460750541.48638 | 44022351578.540565 | 1.5080218288779493e+20 | 1041818.5087303087 | 4326.5903887416835 |
|   -4.8 |  31364639940.57724 | 1.4332036775574412e+20 |  84676639454.47815 |   53311999513.9009 | 1.4332036775574263e+20 |  1497203.509275604 |  6712.614010923486 |
|   -4.6 |  41690958219.67015 |  1.187985482220838e+20 |  97405641038.69102 | 55714682819.020874 | 1.1879854822208188e+20 |  1935505.020696805 |  9422.101516071909 |
|   -4.4 |  54547902554.69877 | 1.0256992042354455e+20 | 114415831681.65643 |  59867929126.95766 | 1.0256992042354201e+20 | 2539177.5210571433 | 13356.504511145047 |
|   -4.2 |  70650591223.59901 |  9.188798204312727e+19 | 136878737711.92482 |  66228146488.32581 |  9.188798204312386e+19 |  3384506.961048085 | 19162.465850269284 |
|   -4.0 |  90867280877.94824 |  8.484030787484307e+19 |  165987953528.2114 |  75120672650.26315 |  8.484030787483846e+19 | 4569776.9870386645 | 27759.838036454756 |
|   -3.8 | 116299635628.29207 |  8.022415059800888e+19 | 203266787933.13654 |  86967152304.84448 |  8.022415059800262e+19 |  6231949.392675346 |   40513.0651619702 |
|   -3.6 | 148294713236.26263 |  7.762256262769756e+19 | 251077775457.23837 | 102783062220.97571 |   7.76225626276889e+19 |  8581896.712409891 | 59557.849498815674 |
|   -3.4 | 188528012188.21585 |  7.661465483829341e+19 |  312230437380.3295 | 123702425192.11366 |  7.661465483828142e+19 | 11913696.334571198 |  88071.51510778243 |
|   -3.2 | 238928136975.43774 |  7.776280092646005e+19 | 391822108623.03894 |  152893971647.6012 |  7.776280092644318e+19 |  16737046.30464495 | 131404.66018711127 |
|   -3.0 |  301696391236.2078 |  8.154658910337465e+19 |  496654296972.1061 | 194957905735.89832 |  8.154658910335061e+19 | 23832912.191201728 | 198022.06241117485 |
|   -2.9 |   339222607029.657 |  8.351164659547118e+19 |  559483375131.6864 | 220260768102.02945 |  8.351164659544246e+19 | 28463378.860511232 |  243325.3640792761 |
|   -2.8 | 380868661018.70953 |  8.650620229697069e+19 |  632416508582.9196 |    251547847564.21 |  8.650620229693622e+19 | 34148961.050264835 |  299979.4762132027 |
|   -2.7 | 427344921872.30725 |   9.00427614891684e+19 |  715921207638.8408 | 288576285766.53357 |  9.004276148912698e+19 |  41048636.21443491 |   370331.367042935 |
|   -2.6 |  479363052038.5029 |  9.447306246590086e+19 |  813112757395.6364 | 333749705357.13336 |  9.447306246585085e+19 |  49557728.41020754 | 458871.23743050714 |
|   -2.5 |    537480132314.99 |  9.950689221507065e+19 |  924894383880.4528 | 387414251565.46277 |  9.950689221501012e+19 |   59940304.0057252 |  569404.7026675689 |
|   -2.4 |  602550292024.0587 | 1.0532882106447331e+20 | 1054517809496.5879 | 451967517472.52924 | 1.0532882106439991e+20 |  72711176.51608992 |  708376.3486138907 |
|   -2.3 |  675630072518.4247 | 1.1178874318418633e+20 |  1204434692941.299 |  528804620422.8745 | 1.1178874318409703e+20 |  88391418.70610431 |  883061.9022045982 |
|   -2.2 |    757741763140.77 | 1.1854745771979303e+20 |  1375986049081.462 |   618244285940.692 | 1.1854745771968446e+20 | 107461507.82461664 | 1101094.1758412016 |
|   -2.1 |  850404319979.4333 |  1.255905565961573e+20 | 1572820836677.3767 |  722416516697.9432 |  1.255905565960252e+20 | 130721295.09838721 | 1374150.4931584378 |
|   -2.0 |  955087917797.5447 | 1.3245246908800144e+20 | 1795695447016.0762 |  840607529218.5312 | 1.3245246908784098e+20 | 158759924.28500417 | 1713085.7838802729 |
|   -1.9 | 1074118050361.7288 | 1.3833984107722855e+20 | 2043404082427.2622 |  969286032065.5333 | 1.3833984107703442e+20 | 192019292.70014405 | 2129033.5008225683 |
|   -1.8 | 1209727582309.5693 | 1.4288663591969256e+20 |  2315697730696.717 | 1105970148387.1475 | 1.4288663591945886e+20 | 231071857.65497285 |  2635561.630503703 |
|   -1.7 | 1365218284649.3955 | 1.4495455033751575e+20 | 2605672402385.3447 | 1240454117735.9497 | 1.4495455033723686e+20 | 275656582.10027236 |  3239873.240991526 |
|   -1.6 | 1544431074360.9204 | 1.4375027185786105e+20 |   2905700683616.58 | 1361269609255.6594 | 1.4375027185753186e+20 | 325212853.42059684 | 3947248.6597286165 |
|   -1.5 |   1751883855121.65 | 1.3906589210276803e+20 |  3210566229041.775 | 1458682373920.1255 | 1.3906589210238406e+20 |  379234744.6979911 |  4764953.795091926 |
|   -1.4 | 1993062981561.0242 | 1.3092596204518004e+20 | 3515631030918.8975 |  1522568049357.873 |  1.309259620447374e+20 |  436956776.9900391 |  5699469.883648137 |
|   -1.3 |  2278150799950.028 | 1.1882217606841133e+20 | 3812759346213.3086 |  1534608546263.281 | 1.1882217606790803e+20 |   496540483.499018 |  6752008.076269897 |
|   -1.2 | 2613282626789.8086 | 1.0471991559428229e+20 |  4116549504593.007 | 1503266877803.1982 |  1.047199155937151e+20 |  559233081.4016236 |  7957828.101447861 |
|   -1.1 | 3008975221354.2773 |   8.99853853466021e+19 |  4446041445779.618 |  1437066224425.341 |  8.998538534596554e+19 |  627189639.2093823 |   9376045.56003626 |
|   -1.0 | 3485554684865.8623 |  7.423386952101877e+19 |  4806328267324.143 | 1320773582458.2805 |   7.42338695203089e+19 |  698837727.4063311 | 11045175.254868485 |
|   -0.9 | 4053171024487.5312 |   5.97093179681874e+19 |  5236954911404.276 |  1183783886916.745 |   5.97093179673947e+19 |  779616937.8426158 | 13091392.730547579 |
|   -0.8 |  4738022126273.713 |  4.637852912306074e+19 |  5762928722668.507 | 1024906596394.7946 |  4.637852912217457e+19 |  870541142.0683933 | 15634543.853059245 |
|   -0.7 |  5563176998242.454 | 3.4806634425543225e+19 |  6419950431687.243 |  856773433444.7885 |  3.480663442455026e+19 |  974134381.6799405 |  18838292.98947902 |
|   -0.6 |    6557480331601.8 |  2.514848882634097e+19 |  7245836982465.787 |  688356650863.9872 |  2.514848882522671e+19 | 1091373341.5817287 | 22891520.886032682 |
|   -0.5 |  7752328285298.109 |  1.747979280648831e+19 |  8282915064754.036 | 530586779455.92645 |  1.747979280523756e+19 | 1222732121.6097152 | 28017394.006719414 |
|   -0.4 |   9187067582952.74 | 1.1635540751117302e+19 |  9577317310546.469 | 390249727593.72845 | 1.1635540749716638e+19 | 1366209997.2630458 | 34456301.707230315 |
|   -0.3 |  10911847549286.89 |  7.418914276965703e+18 | 11185738851284.266 | 273891301997.37354 |  7.418914275402604e+18 | 1520581306.2326853 |  42517161.05970875 |
|   -0.2 | 13009458921150.352 | 4.5303371422927396e+18 |  13193076716289.13 | 183617795138.77936 | 4.5303371405530066e+18 | 1687046199.1175191 |  52687201.91615873 |
|   -0.1 | 15643024772023.475 | 2.6749850501874447e+18 |  15762302281106.41 | 119277509082.93436 |  2.674985048240285e+18 |  1881072874.033581 | 66086256.536830604 |
|   -0.0 | 19194558196567.188 | 1.5621814311078513e+18 |  19272244237781.13 |  77686041213.94244 |  1.562181428867426e+18 | 2154669405.8580213 |  85756068.76720144 |
